load_factor,bin_capacity,num_bins,average,stddev
1,1,100000,36789.2,83.982
1,2,50000,27065.6,99.6474
1,4,25000,19532.2,91.4211
1,6,16666,16060.6,98.869
1,8,12500,13959.1,93.2164
1,12,8333,11427.1,103.087
1,16,6250,9908.62,111.171
1,24,4166,8102.38,91.9818
1,32,3125,7038.68,99.7656
1,48,2083,5775.98,99.2103
1,64,1562,4984.55,99.3172
0.95,1,105263,35446.3,111.045
0.95,2,52631,25432.9,98.5825
0.95,4,26315,17768.1,797.027
0.95,6,17543,14107.2,94.3958
0.95,8,13157,11960.4,95.1378
0.95,12,8771,9399.74,89.7739
0.95,16,6578,7867.65,82.6895
0.95,24,4385,6040.03,108.769
0.95,32,3289,4937.27,94.5769
0.95,48,2192,3703.78,93.2095
0.95,64,1644,2950.4,88.2075
0.9,1,111111,34065.8,97.1558
0.9,2,55555,23782.5,91.5157
0.9,4,27777,15861,97.4592
0.9,6,18518,12227.7,87.9486
0.9,8,13888,10075.2,88.4584
0.9,12,9259,7508.42,91.7608
0.9,16,6944,6004.23,89.6153
0.9,24,4629,4258.24,102.592
0.9,32,3472,3250.25,82.4574
0.9,48,2314,2157.85,81.463
0.9,64,1736,1532.62,82.4763
0.8,1,125000,31152.4,113.666
0.8,2,62500,20410.5,101.716
0.8,4,31250,12323.8,101.545
0.8,6,20833,8742.05,91.2328
0.8,8,15625,6679.28,90.723
0.8,12,10416,4375.24,77.7968
0.8,16,7812,3081.49,73.0899
0.8,24,5208,1756.85,69.4909
0.8,32,3906,1093.67,66.2465
0.8,48,2604,491.19,45.5378
0.8,64,1953,244.27,33.0024
