load_factor,bin_capacity,num_bins,average,stddev
1,1,100000,36798.6,85.8779
1,2,50000,27040.5,94.4534
1,4,25000,19542.1,108.091
1,6,16666,16057.1,100.319
1,8,12500,13963.2,98.3903
1,12,8333,11444.9,92.4314
1,16,6250,9911.58,96.1981
1,24,4166,8137.35,91.6612
1,32,3125,7029.21,98.6192
1,48,2083,5755.39,117.031
1,64,1562,4993.53,92.1308
0.95,1,105263,35440.5,97.7609
0.95,2,52631,25445.9,87.7216
0.95,4,26315,17676.7,92.1049
0.95,6,17543,14126.3,93.2985
0.95,8,13157,11974.6,96.4395
0.95,12,8771,9395.22,97.7805
0.95,16,6578,7874.29,105.231
0.95,24,4385,6039.87,95.9542
0.95,32,3289,4956.41,95.0793
0.95,48,2192,3682.42,86.0573
0.95,64,1644,2956.71,83.6273
0.9,1,111111,34065.2,99.4738
0.9,2,55555,23783.6,103.177
0.9,4,27777,15872.8,99.3687
0.9,6,18518,12251,97.7117
0.9,8,13888,10054.5,91.3984
0.9,12,9259,7502.22,86.8132
0.9,16,6944,6009.11,92.133
0.9,24,4629,4247.79,81.9121
0.9,32,3472,3263.91,87.7786
0.9,48,2314,2147.48,76.5877
0.9,64,1736,1519.33,83.0748
0.8,1,125000,31172.9,97.5744
0.8,2,62500,20427.6,101.568
0.8,4,31250,12315.7,99.7756
0.8,6,20833,8740.38,94.9708
0.8,8,15625,6694.08,89.2474
0.8,12,10416,4355.14,69.0367
0.8,16,7812,3100.78,76.6424
0.8,24,5208,1765.62,57.0524
0.8,32,3906,1107.63,64.0379
0.8,48,2604,491.41,46.9498
0.8,64,1953,249.46,32.0672
