load_factor,bin_capacity,num_bins,average,stddev
1,1,100000,36781.2,96.1154
1,2,50000,27070,99.986
1,4,25000,19526.5,96.9488
1,6,16666,16065.6,93.8521
1,8,12500,13961.4,94.985
1,12,8333,11432.3,95.4426
1,16,6250,9911.78,102.324
1,24,4166,8123.26,104.622
1,32,3125,7034.45,87.9143
1,48,2083,5753.73,98.1338
1,64,1562,5004.87,103.284
0.95,1,105263,35453.8,106.915
0.95,2,52631,25445.2,98.1889
0.95,4,26315,17697.4,98.8334
0.95,6,17543,14120.1,97.9905
0.95,8,13157,11972.4,99.1177
0.95,12,8771,9393.77,97.4968
0.95,16,6578,7845.48,103.41
0.95,24,4385,6022.63,102.246
0.95,32,3289,4943.87,95.908
0.95,48,2192,3687.65,87.0988
0.95,64,1644,2962.75,100.781
0.9,1,111111,34067.6,103.189
0.9,2,55555,23771.8,91.5227
0.9,4,27777,15868,99.4328
0.9,6,18518,12262.8,96.6856
0.9,8,13888,10088,94.921
0.9,12,9259,7516.63,108.719
0.9,16,6944,5990.53,89.0127
0.9,24,4629,4260.06,89.2237
0.9,32,3472,3262.08,69.9692
0.9,48,2314,2150.81,76.9168
0.9,64,1736,1527.89,76.1815
0.8,1,125000,31162.2,103.202
0.8,2,62500,20429,95.6066
0.8,4,31250,12309.7,84.7252
0.8,6,20833,8764.61,95.2862
0.8,8,15625,6693.21,91.3623
0.8,12,10416,4354.42,76.3259
0.8,16,7812,3081.89,69.5121
0.8,24,5208,1752.92,62.613
0.8,32,3906,1100.36,60.1514
0.8,48,2604,498.78,51.3916
0.8,64,1953,250.13,37.2628
